iter	TotalF1	MultiClass
715	0.9042506597	-0.276496005
716	0.9042672995	-0.2763760283
717	0.9043171772	-0.2762343898
718	0.9043730634	-0.2761887085
719	0.9043609867	-0.2761440717
720	0.9043902434	-0.2760300153
721	0.904409159	-0.2759273439
722	0.9044930898	-0.2757037936
723	0.9045175985	-0.2756288296
724	0.9045232298	-0.2755353669
725	0.9045960678	-0.2754181007
726	0.9046259657	-0.2753814001
727	0.9046411229	-0.2752774269
728	0.9046374793	-0.2752413752
729	0.9047076147	-0.2751671772
730	0.9047315603	-0.2750559693
731	0.9047617068	-0.2748834549
732	0.9048130356	-0.274693252
733	0.9047902359	-0.2746118956
734	0.9048590688	-0.2744405714
735	0.9049111648	-0.2742820881
736	0.9049511646	-0.2741531723
737	0.9049723765	-0.2740877545
738	0.9050148186	-0.2738938851
739	0.9049848798	-0.2738212627
740	0.9050197061	-0.273749391
741	0.9050593591	-0.2736474356
742	0.9050411787	-0.2735071274
743	0.9050610966	-0.2734255455
744	0.9050776026	-0.2733813362
745	0.9051111976	-0.2733266272
746	0.9051349612	-0.27324463
747	0.9051707127	-0.2731556165
748	0.9051858322	-0.2730939197
749	0.9052205769	-0.2730284491
750	0.9052653431	-0.2729238552
751	0.9052800573	-0.2727950741
752	0.9053430091	-0.2727004386
753	0.9053589344	-0.2726464525
754	0.9054473523	-0.2724609364
755	0.905478025	-0.2723661917
756	0.9055252496	-0.2722507891
757	0.905555602	-0.2720905482
758	0.9055737626	-0.2720134759
759	0.905635753	-0.2718834736
760	0.9056939957	-0.2718131051
761	0.9056760043	-0.2717197189
762	0.9057081644	-0.2716450091
763	0.9057617569	-0.2715504161
764	0.9058000033	-0.2714399054
765	0.9058172823	-0.2713668934
766	0.9058527482	-0.2712861812
767	0.9058344342	-0.271182887
768	0.905888773	-0.2710890756
769	0.9058876352	-0.2710495675
770	0.9058983761	-0.2709885042
771	0.9059242241	-0.2708801114
772	0.9059565328	-0.2708053286
773	0.9059516624	-0.2707465647
774	0.905949559	-0.2707464926
775	0.9059784388	-0.2706941029
776	0.9060207637	-0.2705803533
777	0.9060263221	-0.2704660333
778	0.9060594722	-0.2704211069
779	0.906117028	-0.2703129466
780	0.9061808507	-0.2702101413
781	0.9062200048	-0.2701286984
782	0.9062150045	-0.2700737916
783	0.9063035332	-0.2699158534
784	0.9063134238	-0.2698144832
785	0.9063823852	-0.2697597573
786	0.906404457	-0.2696770809
787	0.9064065103	-0.2695795405
788	0.906397181	-0.269461187
789	0.9064473086	-0.2693672951
790	0.9064276521	-0.2693120857
791	0.9064844184	-0.2692290333
792	0.9065437384	-0.2690914853
793	0.9065585369	-0.2690432552
794	0.9065416113	-0.2689526764
795	0.9066191988	-0.268822932
796	0.9066436221	-0.2687418
797	0.9066655803	-0.2686947986
798	0.906705085	-0.2686209563
799	0.9067243335	-0.268553507
800	0.9067343501	-0.2685013987
801	0.9067567971	-0.2684488246
802	0.9067887505	-0.2683836569
803	0.906785978	-0.2683183162
804	0.9067973085	-0.2682985898
805	0.9067971045	-0.2682984395
806	0.906842441	-0.2681914773
807	0.9068537627	-0.268103747
808	0.9068746969	-0.2681029034
809	0.9069358928	-0.2679567259
810	0.9069607288	-0.2678924871
811	0.9069805702	-0.2678114119
812	0.9070564025	-0.2677300193
813	0.9070764013	-0.2676491912
814	0.907101681	-0.2675339003
815	0.9071163345	-0.2674855082
816	0.9071322903	-0.2673615762
817	0.9071111558	-0.2672926871
818	0.9071720852	-0.2672203346
819	0.9072003995	-0.2671314307
820	0.9072273632	-0.2670167029
821	0.9072343918	-0.2669626874
822	0.9072585823	-0.2669152301
823	0.9072999103	-0.266772703
824	0.9073210797	-0.2667020433
825	0.9072982979	-0.2665722683
826	0.9073842799	-0.266486126
827	0.9073964298	-0.2663736977
